OrderID,Product,Category,Price,Quantity,Country,OrderDate,TotalSales
1,Headphones,Electronics,1912.94,2,India,01-01-2022 00:00,3825.88
2,Camera,Electronics,1839.72,2,USA,01-01-2022 01:00,3679.44
3,Tablet,Electronics,1137.65,1,India,01-01-2022 02:00,1137.65
4,Camera,Accessories,490.78,4,Germany,01-01-2022 03:00,1963.12
5,Camera,Electronics,1831.16,4,UK,01-01-2022 04:00,7324.64
6,Phone,Electronics,1523.87,4,India,01-01-2022 05:00,6095.48
7,Tablet,Electronics,173.67,1,Germany,01-01-2022 06:00,173.67
8,Tablet,Accessories,1032.35,3,USA,01-01-2022 07:00,3097.05
9,Tablet,Accessories,1249.39,3,Germany,01-01-2022 08:00,3748.17
10,Camera,Accessories,226.3,3,Germany,01-01-2022 09:00,678.9
11,Headphones,Electronics,194.68,4,USA,01-01-2022 10:00,778.72
12,Tablet,Electronics,980.7,1,India,01-01-2022 11:00,980.7
13,Camera,Electronics,103.71,1,USA,01-01-2022 12:00,103.71
14,Phone,Electronics,188.99,2,USA,01-01-2022 13:00,377.98
15,Headphones,Electronics,413.76,4,Canada,01-01-2022 14:00,1655.04
16,Phone,Accessories,1828.94,2,USA,01-01-2022 15:00,3657.88
17,Headphones,Electronics,1555.94,4,India,01-01-2022 16:00,6223.76
18,Camera,Accessories,955.81,3,Canada,01-01-2022 17:00,2867.43
19,Laptop,Accessories,1010.49,3,Germany,01-01-2022 18:00,3031.47
20,Headphones,Accessories,1403.45,3,USA,01-01-2022 19:00,4210.35
21,Phone,Electronics,1001.33,4,Canada,01-01-2022 20:00,4005.32
22,Camera,Electronics,221.46,4,UK,01-01-2022 21:00,885.84
23,Headphones,Accessories,1503.59,2,Germany,01-01-2022 22:00,3007.18
24,Laptop,Accessories,209.72,3,UK,01-01-2022 23:00,629.16
25,Laptop,Accessories,1023.58,2,Canada,02-01-2022 00:00,2047.16
26,Tablet,Accessories,1737.24,3,USA,02-01-2022 01:00,5211.72
27,Tablet,Accessories,323.02,1,India,02-01-2022 02:00,323.02
28,Phone,Electronics,1442.59,2,Germany,02-01-2022 03:00,2885.18
29,Headphones,Accessories,188.02,3,Canada,02-01-2022 04:00,564.06
30,Headphones,Accessories,1986.81,2,USA,02-01-2022 05:00,3973.62
31,Tablet,Electronics,1395.96,3,Canada,02-01-2022 06:00,4187.88
